"nome_xlsx";"nome_plot";"nome_quantum";"taxa_adm_aa";"primeira_data";"ultima_data";"n_obs";"ret_fundo_acum";"ret_cdi_acum";"janela";"meses";"cobertura_ok";"ret_fundo_aa";"ret_cdi_aa";"excesso_cdi_aa";"percentual_cdi"
"Augme 30 Advisory CIC RF CP LP RL";"Augme 30 Advisory";"AUGME 30 ADVISORY FIF CIC RENDA FIXA";"0,0060";"2025-12-31";"2026-06-30";"123";"0,0650704392909218";"0,0690511803661034";"6 meses";"6";TRUE;"0,1343750406513571";"0,142870426242159";"-7,43337599410565e-03";"0,940537829876684"
"Augme 30 Advisory CIC RF CP LP RL";"Augme 30 Advisory";"AUGME 30 ADVISORY FIF CIC RENDA FIXA";"0,0060";"2025-07-01";"2026-06-30";"252";"0,1502629278600272";"0,1478274521113714";"12 meses";"12";TRUE;"0,1502629278600272";"0,147827452111371";"2,12181346959062e-03";"1,016475124977605"
"Augme 30 Advisory CIC RF CP LP RL";"Augme 30 Advisory";"AUGME 30 ADVISORY FIF CIC RENDA FIXA";"0,0060";"2024-07-01";"2026-06-30";"503";"0,2931237599406249";"0,2870100168583818";"24 meses";"24";TRUE;"0,1371559963086089";"0,134464638875263";"2,37235903272737e-03";"1,020015354637898"
"Augme 30 Advisory CIC RF CP LP RL";"Augme 30 Advisory";"AUGME 30 ADVISORY FIF CIC RENDA FIXA";"0,0060";"2023-07-03";"2026-06-30";"752";"0,4816947341744824";"0,4374821021799329";"36 meses";"36";TRUE;"0,1400386603731427";"0,128584674955896";"1,01489818809515e-02";"1,089077375831727"
"BB Asset RF CP LP FIC FIF RL";"BB Asset";"BB ASSET RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0050";"2025-12-31";"2026-06-30";"123";"0,0605413443026388";"0,0690511803661034";"6 meses";"6";TRUE;"0,1247479429752483";"0,142870426242159";"-1,58569885533731e-02";"0,873154411703134"
"BB Asset RF CP LP FIC FIF RL";"BB Asset";"BB ASSET RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0050";"2025-07-01";"2026-06-30";"252";"0,1279765522270964";"0,1478274521113714";"12 meses";"12";TRUE;"0,1279765522270964";"0,147827452111371";"-1,72943240273268e-02";"0,865715740880661"
"BB Asset RF CP LP FIC FIF RL";"BB Asset";"BB ASSET RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0050";"2024-07-01";"2026-06-30";"503";"0,2657851928834210";"0,2870100168583818";"24 meses";"24";TRUE;"0,1250711945843344";"0,134464638875263";"-8,28006794486080e-03";"0,930141899242053"
"BB Asset RF CP LP FIC FIF RL";"BB Asset";"BB ASSET RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0050";"2023-07-03";"2026-06-30";"752";"0,4367452498240678";"0,4374821021799329";"36 meses";"36";TRUE;"0,1283918047494119";"0,128584674955896";"-1,70895645460911e-04";"0,998500052929713"
"BNP Paribas Match Plus 30 Advisory FIF RF CP LP RL";"BNP Paribas Match Plus 30 Advisory";"BNP PARIBAS MATCH PLUS 30 ADVISORY RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0065";"2025-12-31";"2026-06-30";"123";"0,0685026237400939";"0,0690511803661034";"6 meses";"6";TRUE;"0,1416978569394647";"0,142870426242159";"-1,02598621485883e-03";"0,991792778018966"
"BNP Paribas Match Plus 30 Advisory FIF RF CP LP RL";"BNP Paribas Match Plus 30 Advisory";"BNP PARIBAS MATCH PLUS 30 ADVISORY RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0065";"2025-07-01";"2026-06-30";"252";"0,1490777652880038";"0,1478274521113714";"12 meses";"12";TRUE;"0,1490777652880038";"0,147827452111371";"1,08928669926178e-03";"1,008457922792922"
"BNP Paribas Match Plus 30 Advisory FIF RF CP LP RL";"BNP Paribas Match Plus 30 Advisory";"BNP PARIBAS MATCH PLUS 30 ADVISORY RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0065";"2024-07-01";"2026-06-30";"503";"0,2966008885388118";"0,2870100168583818";"24 meses";"24";TRUE;"0,1386838404661812";"0,134464638875263";"3,71911247502688e-03";"1,031377778025579"
"BNP Paribas Match Plus 30 Advisory FIF RF CP LP RL";"BNP Paribas Match Plus 30 Advisory";"BNP PARIBAS MATCH PLUS 30 ADVISORY RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0065";"2023-07-03";"2026-06-30";"752";"0,4707703311197553";"0,4374821021799329";"36 meses";"36";TRUE;"0,1372299451156918";"0,128584674955896";"7,66027605339747e-03";"1,067234063178689"
"BNP Paribas Rubi FIF RF CP RL";"BNP Paribas Rubi";"BNP PARIBAS RUBI RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO";"0,0040";"2025-12-31";"2026-06-30";"123";"0,0700380812096641";"0,0690511803661034";"6 meses";"6";TRUE;"0,1449814952388597";"0,142870426242159";"1,84716390259765e-03";"1,014776109039687"
"BNP Paribas Rubi FIF RF CP RL";"BNP Paribas Rubi";"BNP PARIBAS RUBI RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO";"0,0040";"2025-07-01";"2026-06-30";"252";"0,1513259957683293";"0,1478274521113714";"12 meses";"12";TRUE;"0,1513259957683293";"0,147827452111371";"3,04797001546042e-03";"1,023666400299737"
"BNP Paribas Rubi FIF RF CP RL";"BNP Paribas Rubi";"BNP PARIBAS RUBI RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO";"0,0040";"2024-07-01";"2026-06-30";"503";"0,3012096304982150";"0,2870100168583818";"24 meses";"24";TRUE;"0,1407057598251247";"0,134464638875263";"5,50137988967991e-03";"1,046414589010653"
"BNP Paribas Rubi FIF RF CP RL";"BNP Paribas Rubi";"BNP PARIBAS RUBI RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO";"0,0040";"2023-07-03";"2026-06-30";"752";"0,4729702013517094";"0,4374821021799329";"36 meses";"36";TRUE;"0,1377966576676648";"0,128584674955896";"8,16242052208338e-03";"1,071641373397947"
"BOCOM BBM Corporate Credit Plus FIF CIC MULT CP RL";"BOCOM BBM Corporate Credit Plus MULT";"BOCOM BBM CORPORATE CREDIT PLUS RESP LIMITADA FIF CIC MULTIMERCADO CRÉDITO PRIVADO";"0,0090";"2025-12-31";"2026-06-30";"123";"0,0699138766139837";"0,0690511803661034";"6 meses";"6";TRUE;"0,1447157033711628";"0,142870426242159";"1,61459872145908e-03";"1,012915738949894"
