"nome_xlsx";"nome_plot";"nome_quantum";"taxa_adm_aa";"primeira_data";"ultima_data";"n_meses";"excesso_cdi_aa";"hit_rate_mensal";"hit_rate_6m";"n_janelas_36m";"hit_rate_36m";"volatilidade_excesso_aa";"pior_mes";"media_tres_piores_meses";"autocorrelacao_lag1";"max_drawdown_excesso";"meses_para_recuperar";"cluster";"correlacao_media_pares";"correlacao_mediana_pares";"correlacao_maxima";"fundo_mais_correlacionado";"meses_em_comum_com_par_mais_proximo";"benchmark_menor_tracking_error";"menor_tracking_error_aa";"benchmark_maior_correlacao";"maior_correlacao";"score_retorno";"score_consistencia";"score_risco";"score_taxa";"eficiencia_custo";"score_eficiencia";"score_custo";"score_diferenciacao";"score_preliminar";"quartil_score";"classificacao";"red_flag";"elegivel_shortlist"
"ARX Everest Advisory FIC de FIF RF CP RL";"ARX Everest Advisory";"ARX EVEREST ADVISORY RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO";"0,0070";"2020-02-01";"2026-06-01";"77";"0,012248292710359543";"0,740259740259740";"0,708333333333333";"42";"0,976190476190476";"0,01824009328672104";"-0,02216573153830848";"-0,01835877192481531";"0,35907295110312248";"-0,03692482903035599";"13";"1";"0,598836645423030";"0,648359149405880";"0,822531783408792";"Iridium Titan Advisory";"77";"IDA-DI";"0,01918242782428473";"IDA-DI";"0,661843363554883";"0,8444444444444444";"0,31111111111111112";"0,36666666666666670";"0,2000000000000000";"1,7497561014799350";"0,6888888888888889";"0,4444444444444444";"0,8000000000000000";"0,511111111111111";"2";"Q2 - Aprovado";NA;TRUE
"BNP Paribas Rubi FIF RF CP RL";"BNP Paribas Rubi";"BNP PARIBAS RUBI RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO";"0,0040";"2015-01-01";"2026-06-01";"138";"0,005712338450646337";"0,847826086956522";"0,902255639097744";"103";"0,805825242718447";"0,00966191735372636";"-0,02875736712192745";"-0,01255073710242627";"0,20843877182201595";"-0,03831212111917581";"22";"1";"0,709753606851130";"0,739293366690782";"0,972859995993885";"BNP Paribas Match Plus 30 Advisory";"39";"IRF-M 1";"0,01141574350349326";"IDA-DI";"0,871075049090016";"0,2444444444444444";"0,56444444444444453";"0,59777777777777774";"0,8888888888888888";"1,4280846126615843";"0,4888888888888889";"0,6888888888888889";"0,2111111111111111";"0,502888888888889";"2";"Q2 - Aprovado";NA;TRUE
"Arx Vinson Advisory FIC de FIF RF CP RL";"Arx Vinson Advisory";"ARX VINSON ADVISORY RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO";"0,0050";"2021-08-01";"2026-06-01";"59";"0,006900793551405382";"0,728813559322034";"0,759259259259259";"24";"1,000000000000000";"0,00900820785460179";"-0,00892227448091598";"-0,00792041813384300";"0,57885651935805238";"-0,02531607622128795";"16";"1";"0,675031858991690";"0,707466707495024";"0,887422642484216";"XP Corporate Top";"59";"IDA-DI";"0,00730335889016542";"IDA-DI";"0,847011790098257";"0,3555555555555556";"0,34222222222222221";"0,72444444444444445";"0,6000000000000000";"1,3801587102810764";"0,4666666666666667";"0,5333333333333333";"0,5888888888888889";"0,493777777777778";"2";"Q2 - Aprovado";NA;TRUE
"BTG Pactual Crédito Corporativo I FIF em Cotas de FIRF";"BTG Pactual Crédito Corporativo I";"BTG PACTUAL CRÉDITO CORPORATIVO I FIF CIC RENDA FIXA";"0,0050";"2012-01-01";"2026-06-01";"174";"0,008522789664149322";"0,873563218390805";"0,822485207100592";"139";"0,863309352517986";"0,01474228854547049";"-0,03194149364248322";"-0,02615489120957922";"0,56894717588220567";"-0,07129162486603235";"22";"1";"0,720194456394844";"0,777986967901783";"0,917544956951213";"AF Invest Geraes 30";"99";"IDA-DI";"0,01148473928394038";"IDA-DI";"0,746823793823544";"0,5333333333333333";"0,60888888888888892";"0,17777777777777778";"0,6000000000000000";"1,7045579328298643";"0,6222222222222222";"0,6111111111111112";"0,4000000000000000";"0,487222222222222";"2";"Q2 - Aprovado";"Cauda negativa";FALSE
"Valora Absolute FIF RF CP LP RL";"Valora Absolute";"VALORA ABSOLUTE RESP LIMITADA FIF RENDA FIXA CRÉDITO PRIVADO LP";"0,0050";"2009-02-01";"2026-06-01";"209";"0,005582590206246962";"0,889952153110048";"0,877450980392157";"174";"0,965517241379310";"0,01127728055474708";"-0,03056227665867706";"-0,02014267742842439";"0,44451772480782964";"-0,04779351297568457";"9";"1";"0,742606100499895";"0,790827421804504";"0,909140539679390";"Selection Light";"118";"IDA-DI";"0,00896079969087760";"IDA-DI";"0,826641021229741";"0,2222222222222222";"0,74222222222222223";"0,38666666666666660";"0,6000000000000000";"1,1165180412493925";"0,3111111111111111";"0,4555555555555555";"0,3444444444444444";"0,455666666666667";"3";"Q3 - Observação";NA;FALSE
"XP Corporate Plus FIC FIF Multi CP RL";"XP Corporate Plus";"XP CORPORATE PLUS RESP LIMITADA FIF CIC MULTIMERCADO CRÉDITO PRIVADO";"0,0075";"2016-07-01";"2026-06-01";"120";"0,011518561926476378";"0,775000000000000";"0,756521739130435";"85";"0,941176470588235";"0,01944311025020497";"-0,03911834123029490";"-0,02373182215709561";"0,37192594833435122";"-0,05524096618930352";"13";"1";"0,681456195991835";"0,773780576250607";"0,890942098166155";"Selection Light";"118";"IDA-DI";"0,01313279969152326";"IDA-DI";"0,781302562043386";"0,7777777777777778";"0,39555555555555560";"0,17555555555555555";"0,1333333333333333";"1,5358082568635172";"0,5777777777777777";"0,3555555555555555";"0,5555555555555556";"0,434000000000000";"3";"Q3 - Observação";NA;FALSE
"XP Corporate Top CP FIF FIRF LP RL";"XP Corporate Top";"XP CORPORATE TOP RESP LIMITADA FIF RENDA FIXA CRÉDITO PRIVADO LP";"0,0075";"2003-03-01";"2026-06-01";"280";"0,007168237599647354";"0,857142857142857";"0,854545454545454";"245";"0,934693877551020";"0,00882854473206779";"-0,02431767074248947";"-0,01821522995571171";"0,46059838963097904";"-0,04390234278853833";"16";"1";"0,729185153876523";"0,770405879453253";"0,938231946855498";"Selection Light";"118";"IDA-DI";"0,01062558159888030";"IDA-DI";"0,743548964935755";"0,4444444444444444";"0,64888888888888885";"0,51555555555555554";"0,1333333333333333";"0,9557650132863138";"0,2444444444444444";"0,1888888888888889";"0,3111111111111111";"0,432555555555556";"3";"Q3 - Observação";NA;FALSE
"Safra Polaris Classe de Investimento RF CP RL";"Safra Polaris";"SAFRA POLARIS RESP LIMITADA FIF RENDA FIXA CRÉDITO PRIVADO";"0,0060";"2019-08-01";"2026-06-01";"83";"0,008201172852079663";"0,759036144578313";"0,705128205128205";"48";"1,000000000000000";"0,01393819983872835";"-0,03087662025983651";"-0,01286300386837735";"0,13336491400395442";"-0,03255976251783232";"9";"1";"0,729792614198809";"0,757518239905808";"0,931531918286749";"Principal Claritas";"83";"IDA-DI";"0,01264959828515876";"IDA-DI";"0,927994746201549";"0,5111111111111111";"0,35999999999999999";"0,53111111111111109";"0,3111111111111111";"1,3668621420132772";"0,4444444444444444";"0,3777777777777778";"0,3444444444444444";"0,427333333333333";"3";"Q3 - Observação";NA;FALSE
"Augme 30 Advisory CIC RF CP LP RL";"Augme 30 Advisory";"AUGME 30 ADVISORY FIF CIC RENDA FIXA";"0,0060";"2019-06-01";"2026-06-01";"85";"0,006956948333098456";"0,764705882352941";"0,762500000000000";"50";"1,000000000000000";"0,01486107502358732";"-0,02469619949974300";"-0,01760281840116492";"0,17795370716370484";"-0,02866113154516592";"12";"1";"0,648000089775269";"0,707044592874921";"0,912069506040159";"Sparta Max Advisory";"85";"IDA-DI";"0,01396984066122067";"IDA LIQ-DI";"0,863511471606282";"0,4000000000000000";"0,43555555555555558";"0,48222222222222222";"0,3111111111111111";"1,1594913888497427";"0,3333333333333333";"0,3222222222222222";"0,5777777777777777";"0,423666666666667";"3";"Q3 - Observação";NA;FALSE
"SPX Seahawk Advisory FIC FIRF CP LP";"SPX Seahawk Advisory";"SPX SEAHAWK ADVISORY RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0060";"2020-01-01";"2026-06-01";"78";"0,008970721182759656";"0,833333333333333";"0,726027397260274";"43";"1,000000000000000";"0,02166777685869560";"-0,04248267063740008";"-0,02311688204168124";"0,25017666919891368";"-0,04501796188486751";"9";"1";"0,742355544002515";"0,777986967901783";"0,945709029100236";"Sparta Top";"78";"IDA-DI";"0,00799651437653851";"IDA-DI";"0,950426756940678";"0,5777777777777777";"0,52888888888888885";"0,22444444444444445";"0,3111111111111111";"1,4951201971266093";"0,5111111111111111";"0,4111111111111111";"0,2222222222222222";"0,417666666666667";"3";"Q3 - Observação";NA;FALSE
