"nome_xlsx";"nome_plot";"nome_quantum";"taxa_adm_aa";"primeira_data";"ultima_data";"n_obs";"ret_liq_12m";"ret_pre_taxa_12m";"ret_cdi_12m";"taxa_efetiva_12m";"excesso_cdi_liq_12m";"excesso_cdi_pre_taxa_12m"
"Iridium Titan Advisory FIC em FIF RF CP RL";"Iridium Titan Advisory";"IRIDIUM TITAN ADVISORY RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO";"0,0060";"2025-07-01";"2026-06-30";"252";"0,1477960766667255";"0,154682853126719";"0,147827452111371";"0,00599999999999468";"-2,73346351737924e-05";"0,005972501357009108"
"Tríade CIC CLasses FIM CP Resp Limitada";"Tríade";"TRÍADE FIF CIC MULTIMERCADO";"0,0066";"2025-07-01";"2026-06-30";"248";"0,1476571734272663";"0,155231710771905";"0,147827452111371";"0,00660000000001748";"-1,48348677139531e-04";"0,006450672221607778"
"XP Corporate Top CP FIF FIRF LP RL";"XP Corporate Top";"XP CORPORATE TOP RESP LIMITADA FIF RENDA FIXA CRÉDITO PRIVADO LP";"0,0075";"2025-07-01";"2026-06-30";"252";"0,1472436930524643";"0,155848020750359";"0,147827452111371";"0,00749999999999962";"-5,08577363116047e-04";"0,006987608306661341"
"XP Corporate Plus FIC FIF Multi CP RL";"XP Corporate Plus";"XP CORPORATE PLUS RESP LIMITADA FIF CIC MULTIMERCADO CRÉDITO PRIVADO";"0,0075";"2025-07-01";"2026-06-30";"252";"0,1471461312437141";"0,155749727228041";"0,147827452111371";"0,00749999999999962";"-5,93574292376498e-04";"0,006901973900430125"
"Sparta Max Advisory FIC de FIF RF CP LP RL";"Sparta Max Advisory";"SPARTA MAX ADVISORY RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0035";"2025-07-01";"2026-06-30";"252";"0,1468996539983476";"0,150913802787339";"0,147827452111371";"0,00349999999999695";"-8,08308000751490e-04";"0,002688862921243373"
"BTG Pactual Crédito Corporativo I FIF em Cotas de FIRF";"BTG Pactual Crédito Corporativo I";"BTG PACTUAL CRÉDITO CORPORATIVO I FIF CIC RENDA FIXA";"0,0050";"2025-07-01";"2026-06-30";"252";"0,1468546357318881";"0,152588908910567";"0,147827452111371";"0,00500000000001610";"-8,47528413520537e-04";"0,004148233944428759"
"Polo Crédito Corporativo Advisory FIC FIF RF CP LP RL";"Polo Crédito Corporativo Advisory";"POLO CRÉDITO CORPORATIVO ADVISORY RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0050";"2025-07-01";"2026-06-30";"252";"0,1468013924584342";"0,152535399420745";"0,147827452111371";"0,00500000000001610";"-8,93914543557806e-04";"0,004101615883740806"
"Western Asset Total Credit Plus FIF";"Western Asset Total Credit Plus";"WESTERN ASSET TOTAL CREDIT PLUS CI RESP LIMITADA RENDA FIXA CRÉDITO PRIVADO";"0,0065";"2025-07-01";"2026-06-30";"252";"0,1466698509215645";"0,154123204952530";"0,147827452111371";"0,00649999999997797";"-1,00851498862264e-03";"0,005484929663929883"
"Selection RF Light FIC FIRF CP LP";"Selection Light";"SELECTION RF LIGHT FIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0031";"2025-07-01";"2026-06-30";"252";"0,1466274388413262";"0,150181983901753";"0,147827452111371";"0,00310000000001720";"-1,04546486306611e-03";"0,002051294195874798"
"XP Corporate Light FIRF CP LP";"XP Corporate Light";"XP CORPORATE LIGHT RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0050";"2025-07-01";"2026-06-30";"252";"0,1465267951976503";"0,152259429173657";"0,147827452111371";"0,00500000000001610";"-1,13314672107601e-03";"0,003861187545334710"
"ARX Everest Advisory FIC de FIF RF CP RL";"ARX Everest Advisory";"ARX EVEREST ADVISORY RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO";"0,0070";"2025-07-01";"2026-06-30";"252";"0,1455176127139881";"0,153536236002957";"0,147827452111371";"0,00699999999997369";"-2,01235768767727e-03";"0,004973555808484020"
"Safra Polaris Classe de Investimento RF CP RL";"Safra Polaris";"SAFRA POLARIS RESP LIMITADA FIF RENDA FIXA CRÉDITO PRIVADO";"0,0060";"2025-07-01";"2026-06-30";"252";"0,1454995265483623";"0,152372523707646";"0,147827452111371";"0,00599999999999468";"-2,02811455565644e-03";"0,003959716757004239"
"Sparta Top FIC FIF RF CP LP - Resp Limitada";"Sparta Top";"SPARTA TOP RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0030";"2025-07-01";"2026-06-30";"252";"0,1451861500468881";"0,148621708497015";"0,147827452111371";"0,00299999999998701";"-2,30113163753387e-03";"0,000691964967541647"
"Plural Crédito Corporativo II FIC de FIF RF CP LP RL";"Plural Crédito Corporativo II";"PLURAL CRÉDITO CORPORATIVO II RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0050";"2025-07-01";"2026-06-30";"252";"0,1450663860641002";"0,150791717994439";"0,147827452111371";"0,00500000000001610";"-2,40547134692792e-03";"0,002582501296353401"
"Vinland Crédito Multimercado FIC FI CP";"Vinland Crédito";"VINLAND CRÉDITO RESP LIMITADA FIF CIC MULTIMERCADO CRÉDITO PRIVADO";"0,0070";"2025-07-01";"2026-06-30";"252";"0,1430802024640012";"0,151081763881218";"0,147827452111371";"0,00699999999997369";"-4,13585651627157e-03";"0,002835192488087390"
"Absolute Creta Advisory FIF FIRF";"Absolute Creta Advisory";"ABSOLUTE CRETA ADVISORY FIF CIC RENDA FIXA";"0,0058";"2025-07-01";"2026-06-30";"252";"0,1423742234561587";"0,148999993952176";"0,147827452111371";"0,00579999999997494";"-4,75091325371402e-03";"0,001021531449389323"
"Inter Premium FIF RF CP LP RL";"Inter Premium";"INTER PREMIUM RESP LIMITADA FIF RENDA FIXA CRÉDITO PRIVADO LP";"0,0060";"2025-07-01";"2026-06-30";"252";"0,1405947748536609";"0,147438343502775";"0,147827452111371";"0,00599999999999468";"-6,30118860148043e-03";"-0,000338995733096481"
"Riza Lotus Plus Advisory FIF RF";"Riza Lotus Plus Advisory";"RIZA LÓTUS PLUS ADVISORY FIF CIC RENDA FIXA";"0,0050";"2025-07-01";"2026-06-30";"252";"0,1400919672643228";"0,145792427100662";"0,147827452111371";"0,00500000000001610";"-6,73924014695726e-03";"-0,001772936347676612"
"Valora Absolute FIF RF CP LP RL";"Valora Absolute";"VALORA ABSOLUTE RESP LIMITADA FIF RENDA FIXA CRÉDITO PRIVADO LP";"0,0050";"2025-07-01";"2026-06-30";"252";"0,1387057770348761";"0,144399305920068";"0,147827452111371";"0,00500000000001610";"-7,94690444083423e-03";"-0,002986638963022870"
"AF Invest Geraes 30 FIRF CP";"AF Invest Geraes 30";"AF INVEST GERAES 30 FIF RENDA FIXA";"0,0050";"2025-07-01";"2026-06-30";"252";"0,1365384065056798";"0,142221098538228";"0,147827452111371";"0,00500000000001610";"-9,83514167127286e-03";"-0,004884317379612035"
"AZ Quest Altro Advisory FIC de FIF Multimercado CP";"AZ Quest Altro Advisory";"AZ QUEST ALTRO ADVISORY FIF CIC MULTIMERCADO CRÉDITO PRIVADO";"0,0080";"2025-07-01";"2026-06-30";"252";"0,1346458252035951";"0,143722991805212";"0,147827452111371";"0,00799999999998757";"-1,14839794810007e-02";"-0,003575851316859335"
"SPX Seahawk Advisory FIC FIRF CP LP";"SPX Seahawk Advisory";"SPX SEAHAWK ADVISORY RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0060";"2025-07-01";"2026-06-30";"252";"0,1337099342300874";"0,140512193835460";"0,147827452111371";"0,00599999999999468";"-1,22993380715155e-02";"-0,006373134099951216"
"BB Asset RF CP LP FIC FIF RL";"BB Asset";"BB ASSET RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0050";"2025-07-01";"2026-06-30";"252";"0,1279765522270964";"0,133616434988250";"0,147827452111371";"0,00500000000001610";"-1,72943240273268e-02";"-0,012380795647447762"
"Capitânia Premium 45 FIC de FIF RF CP LP RL";"Capitânia Premium 45";"CAPITÂNIA PREMIUM 45 RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0055";"2025-07-01";"2026-06-30";"252";"0,0807278377345875";"0,086671840842101";"0,147827452111371";"0,00549999999997608";"-5,84579278473933e-02";"-0,053279446450577250"
