"nome_xlsx";"nome_curto";"nome_plot";"nome_quantum";"taxa_adm_aa";"criterio_match";"similaridade";"revisar"
"Vinland Crédito Multimercado FIC FI CP";"Vinland Crédito";"Vinland Crédito";"VINLAND CRÉDITO RESP LIMITADA FIF CIC MULTIMERCADO CRÉDITO PRIVADO";"0,0070";"Similaridade de nome";"1,000000000000000";FALSE
"Sparta Max Advisory FIC de FIF RF CP LP RL";"Sparta Max Advisory";"Sparta Max Advisory";"SPARTA MAX ADVISORY RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0035";"Similaridade de nome";"1,000000000000000";FALSE
"Arx Vinson Advisory FIC de FIF RF CP RL";"Arx Vinson Advisory";"Arx Vinson Advisory";"ARX VINSON ADVISORY RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO";"0,0050";"Similaridade de nome";"1,000000000000000";FALSE
"Absolute Creta Advisory FIF FIRF";"Absolute Creta Advisory";"Absolute Creta Advisory";"ABSOLUTE CRETA ADVISORY FIF CIC RENDA FIXA";"0,0058";"Similaridade de nome";"1,000000000000000";FALSE
"JGP Corporate FIC de FIF RF CP LP FEEDER II RL";"JGP Corporate FEEDER II";"JGP Corporate FEEDER II";"JGP CORPORATE FEEDER III RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0060";"CNPJ validado manualmente";"0,958333333333333";FALSE
"Valora Absolute FIF RF CP LP RL";"Valora Absolute";"Valora Absolute";"VALORA ABSOLUTE RESP LIMITADA FIF RENDA FIXA CRÉDITO PRIVADO LP";"0,0050";"Similaridade de nome";"1,000000000000000";FALSE
"XP Corporate Plus FIC FIF Multi CP RL";"XP Corporate Plus";"XP Corporate Plus";"XP CORPORATE PLUS RESP LIMITADA FIF CIC MULTIMERCADO CRÉDITO PRIVADO";"0,0075";"Similaridade de nome";"1,000000000000000";FALSE
"ARX Everest Advisory FIC de FIF RF CP RL";"ARX Everest Advisory";"ARX Everest Advisory";"ARX EVEREST ADVISORY RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO";"0,0070";"Similaridade de nome";"1,000000000000000";FALSE
"AZ Quest Altro Advisory FIC de FIF Multimercado CP";"AZ Quest Altro Advisory";"AZ Quest Altro Advisory";"AZ QUEST ALTRO ADVISORY FIF CIC MULTIMERCADO CRÉDITO PRIVADO";"0,0080";"Similaridade de nome";"1,000000000000000";FALSE
"Legacy Capital Credit D15 FIF MM CP RL";"Legacy Capital Credit D15";"Legacy Capital Credit D15";"LEGACY CAPITAL CREDIT 15 FIF MULTIMERCADO";"0,0060";"Similaridade de nome";"0,960000000000000";FALSE
"SPX Seahawk Advisory FIC FIRF CP LP";"SPX Seahawk Advisory";"SPX Seahawk Advisory";"SPX SEAHAWK ADVISORY RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0060";"Similaridade de nome";"1,000000000000000";FALSE
"BB Asset RF CP LP FIC FIF RL";"BB Asset";"BB Asset";"BB ASSET RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0050";"Similaridade de nome";"1,000000000000000";FALSE
"Capitânia Premium 45 FIC de FIF RF CP LP RL";"Capitânia Premium 45";"Capitânia Premium 45";"CAPITÂNIA PREMIUM 45 RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0055";"Similaridade de nome";"1,000000000000000";FALSE
"JGP Crédito Advisory FIF Multimercado CP RL";"JGP Crédito Advisory";"JGP Crédito Advisory";"JGP CRÉDITO ADVISORY RESP LIMITADA FIF MULTIMERCADO CRÉDITO PRIVADO";"0,0110";"Similaridade de nome";"1,000000000000000";FALSE
